id,name,now_cost,position,team,clean_sheets_per_90,threat_rank_type,expected_assists_per_90,expected_assists,points_per_game_rank,goals_scored,penalties_missed,creativity_rank_type,transfers_out,value_form,value_season,bonus,starts_per_90,cost_change_start,expected_goals_conceded,cost_change_start_fall,expected_goals_conceded_per_90,red_cards,threat,selected_rank_type,influence,penalties_saved,ep_next,event_points,creativity,ict_index_rank,saves_per_90,creativity_rank,expected_goals,own_goals,status,now_cost_rank_type,saves,yellow_cards,goals_conceded,expected_goal_involvements_per_90,assists,form_rank_type,ict_index_rank_type,chance_of_playing_next_round,influence_rank,penalties_order,ict_index,form,dreamteam_count,expected_goal_involvements,chance_of_playing_this_round,starts,points_per_game,minutes,form_rank,selected_rank,expected_goals_per_90,threat_rank,ep_this,transfers_in,bps,goals_conceded_per_90,selected_by_percent,influence_rank_type,points_per_game_rank_type,clean_sheets,now_cost_rank,total_points
3,Granit Xhaka,48,MID,Arsenal,0.39,38,0.12,3.89,47,7,0,25,832169,1.4,31.9,15,1.08,-2,36.52,2,1.1,0,498,41,647,0,5.3,15,673.3,41,0,32,4.65,0,a,157,0,4,35,0.26,8,2,28,100,60,,182,6.8,2,8.54,100,36,4.1,2992,5,118,0.14,62,7.3,942505,634,1.05,2.7,23,23,13,265,153
4,Mohamed Elneny,41,MID,Arsenal,0,233,0.03,0.04,457,0,0,221,279536,0,1.5,0,0.81,-4,1.29,4,1.05,0,0,81,4.6,0,0,0,5.4,505,0,460,0,0,i,335,0,0,2,0.03,0,194,227,0,505,,1.1,0,1,0.04,0,1,1.2,111,528,249,0,593,0,202760,27,1.62,0.6,226,201,0,634,6
5,Rob Holding,42,DEF,Arsenal,0,118,0.02,0.15,405,1,0,159,27980,0,5,0,0.96,-3,11.14,3,1.78,0,54,143,152,0,0.7,0,10.3,399,0,448,0.32,0,a,160,0,0,13,0.07,0,121,146,,339,,21.6,0.2,0,0.47,,6,1.5,562,376,377,0.05,341,0.7,23338,120,2.08,0.2,137,144,0,598,21
6,Thomas Partey,47,MID,Arsenal,0.4,90,0.08,2.17,210,3,0,59,141958,0.3,18.3,6,1.02,-3,32.27,3,1.17,0,240,95,513.2,0,1.5,3,439.6,97,0,70,2.59,0,a,186,0,5,28,0.17,0,108,68,100,110,,119.5,1.4,0,4.76,100,28,2.6,2480,233,284,0.09,152,1.9,110171,468,1.02,0.4,47,80,11,311,86
7,Martin Ødegaard,69,MID,Arsenal,0.37,8,0.23,8.02,7,15,0,5,5015435,0.9,30.7,30,1.06,4,37.94,-4,1.09,0,920,3,960,0,7.7,3,1100.4,6,0,7,9.75,0,a,22,0,4,38,0.51,8,3,4,100,10,,298.3,6.4,5,17.77,100,37,5.7,3132,8,5,0.28,18,6.9,7014051,813,1.09,33.3,3,3,13,44,212
8,Kieran Tierney,46,DEF,Arsenal,0.12,108,0.05,0.43,432,0,0,101,158213,0.2,8,0,0.7,-4,10.9,4,1.27,0,67,75,144,0,1.5,1,85.5,366,0,313,0.38,0,a,57,0,0,10,0.09,1,92,129,100,350,,29.9,1,0,0.81,100,6,1.4,774,280,208,0.04,323,1.5,98909,164,1.16,0.8,144,154,1,332,37
9,Nicolas Pépé,53,MID,Arsenal,0,334,0,0,769,0,0,334,36735,0,0,0,0,-2,0,2,0,0,0,162,0,0,0,0,0,769,0,767,0,0,u,78,0,0,0,0,0,327,334,0,768,,0,0,0,0,0,0,0,0,753,445,0,765,0,5198,0,0,0.1,334,334,0,146,0
10,Benjamin White,50,DEF,Arsenal,0.44,38,0.11,3.6,49,2,0,8,2217969,0.7,31.2,12,1.06,5,37.23,-5,1.1,0,159,6,649,0,3.3,6,491.2,84,0,61,1.25,0,a,24,0,5,35,0.15,5,19,9,,59,,130,3.4,1,4.85,,36,4.1,3054,69,21,0.04,208,3.9,3320417,734,1.03,16.1,17,6,15,197,156
11,Eddie Nketiah,63,FWD,Arsenal,0.17,17,0.11,1.26,303,4,0,38,1865358,0.1,10,5,0.76,-7,14.65,7,1.23,0,598,24,213.4,0,1,1,128.2,143,0,247,7.89,0,a,27,0,3,16,0.77,2,48,24,100,294,,93.1,0.6,1,9.15,100,9,2.1,1071,332,145,0.66,43,1.1,1928295,161,1.34,1.8,33,42,2,61,63
12,Emile Smith Rowe,56,MID,Arsenal,0,186,0.31,0.55,421,0,0,180,151276,0.2,3.2,0,0,-4,2.71,4,1.51,0,39,101,36.6,0,0.7,4,64.3,427,0,348,0.25,0,a,50,0,0,5,0.45,2,137,192,100,455,,13.8,1,0,0.8,100,0,1.5,161,290,301,0.14,383,1.5,29334,60,2.8,0.4,200,183,0,95,18
